title,price_raw,star_rating_raw,availability_raw,detail_url,category
A Light in the Attic,£51.77,Three,In stock,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Poetry
Tipping the Velvet,£53.74,One,In stock,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction
Soumission,£50.10,One,In stock,http://books.toscrape.com/catalogue/soumission_998/index.html,Fiction
Sharp Objects,£47.82,Four,In stock,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery
Sapiens: A Brief History of Humankind,£54.23,Five,In stock,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,History
The Requiem Red,£22.65,One,In stock,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Default
The Black Maria,£52.15,One,In stock,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Default
Shakespeare's Sonnets,£20.66,Four,In stock,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Poetry
Set Me Free,£17.46,Five,In stock,http://books.toscrape.com/catalogue/set-me-free_988/index.html,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art
Rip it Up and Start Again,£35.02,Five,In stock,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Music
Olio,£23.88,One,In stock,http://books.toscrape.com/catalogue/olio_984/index.html,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Science Fiction
Libertarianism for Beginners,£51.33,Two,In stock,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Politics
It's Only the Himalayas,£45.17,Two,In stock,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel
In Her Wake,£12.84,One,In stock,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,Thriller
How Music Works,£37.32,Two,In stock,http://books.toscrape.com/catalogue/how-music-works_979/index.html,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Food and Drink
Chase Me (Paris Nights #2),£25.27,Five,In stock,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Romance
Black Dust,£34.53,Five,In stock,http://books.toscrape.com/catalogue/black-dust_976/index.html,Romance
Birdsong: A Story in Pictures,£54.64,Three,In stock,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,In stock,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Default
Aladdin and His Wonderful Lamp,£53.13,Three,In stock,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,In stock,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Nonfiction
Wall and Piece,£44.18,Four,In stock,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Art
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,In stock,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,In stock,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Nonfiction
The Elephant Tree,£23.82,Five,In stock,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Thriller
The Bear and the Piano,£36.89,One,In stock,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,Childrens
Sophie's World,£15.94,Five,In stock,http://books.toscrape.com/catalogue/sophies-world_966/index.html,Philosophy
Penny Maybe,£33.29,Three,In stock,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,Default
Maude (1883-1993):She Grew Up with the country,£18.02,Two,In stock,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Default
"In a Dark, Dark Wood",£19.63,One,In stock,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery
Behind Closed Doors,£52.22,Four,In stock,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Thriller
You can't bury them all: Poems,£33.63,Two,In stock,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Poetry
Slow States of Collapse: Poems,£57.31,Three,In stock,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Poetry
Reasons to Stay Alive,£26.41,Two,In stock,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Nonfiction
Private Paris (Private #10),£47.61,Five,In stock,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,In stock,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Nonfiction
Without Borders (Wanderlove #1),£45.07,Two,In stock,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,New Adult
When We Collided,£31.77,One,In stock,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,Contemporary
